onset	duration	index
0	65	24
65	16	7
81	40	18
122	61	45
183	50	30
238	14	24
NaN	NaN	7
252	28	18
280	17	45
NaN	NaN	30
297	21	kate
319	16	kevin
336	16	jack
352	16	randall
