onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
153	14	8
172	55	16
227	9	13
236	12	3
248	13	37
NaN	NaN	8
261	25	kevin
286	18	randall
304	20	kate
324	19	jack
