onset	duration	index
0	43	35
43	28	29
71	29	2
100	13	25
113	80	43
198	41	35
NaN	NaN	29
240	41	2
NaN	NaN	25
281	15	43
296	19	randall
316	23	jack
339	34	kate
373	32	kevin
