onset	duration	index
0	65	24
65	16	7
81	40	18
122	61	45
183	50	30
238	31	24
NaN	NaN	7
270	27	18
NaN	NaN	45
297	33	30
331	27	kate
359	26	jack
386	37	kevin
424	57	randall
