onset	duration	index
0	40	39
40	32	15
72	32	36
104	68	42
173	61	11
239	15	39
NaN	NaN	15
NaN	NaN	36
254	13	42
267	16	11
283	16	kevin
299	12	jack
311	15	kate
326	16	randall
