onset	duration	index
0	47	40
47	30	17
77	72	41
150	26	4
176	28	20
209	18	40
NaN	NaN	17
227	14	41
241	23	4
NaN	NaN	20
264	38	kevin
302	21	jack
323	32	kate
355	17	randall
