onset	duration	index
0	43	35
44	28	29
73	29	2
102	13	25
116	80	43
201	17	35
219	10	29
NaN	NaN	2
229	12	25
241	17	43
259	26	kate
285	26	randall
311	17	kevin
328	18	jack
