onset	duration	index
0	37	34
37	49	38
86	45	31
132	26	5
158	73	26
236	35	34
NaN	NaN	38
271	21	31
292	18	5
310	31	26
341	23	kate
364	20	kevin
384	32	randall
417	29	jack
