onset	duration	index
0	65	24
65	16	7
81	40	18
122	61	45
183	50	30
238	38	24
NaN	NaN	7
276	31	18
307	15	45
NaN	NaN	30
323	38	jack
361	9	kate
370	19	kevin
389	27	randall
