onset	duration	index
0	52	46
52	60	47
112	44	48
NaN	NaN	NaN
NaN	NaN	NaN
162	46	46
208	31	47
239	29	48
NaN	NaN	NaN
NaN	NaN	NaN
269	16	kate
286	21	jack
307	10	kevin
318	24	randall
