onset	duration	index
0	56	33
56	8	6
64	49	22
113	56	14
169	36	28
NaN	NaN	33
NaN	NaN	6
210	21	22
231	31	14
262	13	28
275	30	kate
306	18	jack
324	31	kevin
356	27	randall
