onset	duration	index
0	25	19
25	42	10
67	60	1
127	46	32
173	82	44
260	9	19
269	30	10
300	26	1
NaN	NaN	32
326	5	44
332	36	kevin
369	29	randall
399	14	kate
413	14	jack
