onset	duration	index
0	65	24
66	16	7
82	40	18
123	61	45
185	50	30
241	18	24
NaN	NaN	7
259	8	18
268	14	45
282	13	30
295	12	kate
307	13	randall
320	9	kevin
329	13	jack
