onset	duration	index
0	56	33
57	8	6
65	49	22
114	56	14
170	36	28
212	40	33
NaN	NaN	6
252	28	22
280	19	14
300	25	28
326	29	randall
355	12	jack
367	18	kevin
385	16	kate
