onset	duration	index
0	56	33
56	8	6
64	49	22
113	56	14
169	36	28
210	27	33
237	19	6
NaN	NaN	22
256	14	14
270	20	28
290	39	kate
330	10	jack
340	31	kevin
371	30	randall
