onset	duration	index
0	65	24
66	16	7
82	40	18
123	61	45
184	50	30
239	59	24
NaN	NaN	7
298	21	18
319	31	45
350	30	30
380	38	jack
418	39	kate
457	13	kevin
471	37	randall
