onset	duration	index
0	43	35
44	28	29
73	29	2
102	13	25
115	80	43
NaN	NaN	35
NaN	NaN	29
200	31	2
NaN	NaN	25
NaN	NaN	43
231	54	randall
285	41	kate
326	45	jack
371	25	kevin
