onset	duration	index
0	37	34
38	49	38
87	45	31
133	26	5
159	73	26
237	12	34
250	15	38
265	26	31
NaN	NaN	5
291	19	26
310	23	kate
334	25	kevin
360	16	jack
376	30	randall
