onset	duration	index
0	52	46
52	60	47
112	44	48
NaN	NaN	NaN
NaN	NaN	NaN
162	25	46
187	28	47
215	36	48
NaN	NaN	NaN
NaN	NaN	NaN
251	8	randall
259	6	kevin
266	11	kate
278	43	jack
