onset	duration	index
0	52	46
52	60	47
112	44	48
NaN	NaN	NaN
NaN	NaN	NaN
161	18	46
179	27	47
NaN	NaN	48
NaN	NaN	NaN
NaN	NaN	NaN
206	10	kevin
216	21	kate
237	18	jack
255	29	randall
