onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
152	14	8
171	22	16
194	17	13
NaN	NaN	3
NaN	NaN	37
NaN	NaN	8
211	12	jack
223	18	randall
241	17	kevin
258	13	kate
