onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
152	14	8
171	16	16
187	12	13
NaN	NaN	3
NaN	NaN	37
199	13	8
212	19	kevin
231	14	randall
245	8	kate
253	19	jack
