onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
153	14	8
172	33	16
206	21	13
227	19	3
247	32	37
NaN	NaN	8
279	24	randall
303	20	jack
324	23	kate
347	15	kevin
