onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
152	14	8
171	26	16
NaN	NaN	13
NaN	NaN	3
NaN	NaN	37
NaN	NaN	8
197	12	randall
209	27	jack
236	29	kevin
266	15	kate
