onset	duration	index
0	52	46
52	60	47
112	44	48
NaN	NaN	NaN
NaN	NaN	NaN
162	32	46
194	40	47
234	8	48
NaN	NaN	NaN
NaN	NaN	NaN
242	9	kevin
251	27	jack
278	7	kate
286	29	randall
