onset	duration	index
0	40	39
40	32	15
72	32	36
104	68	42
173	61	11
NaN	NaN	39
239	38	15
277	22	36
299	21	42
321	42	11
364	55	kate
419	52	kevin
471	24	randall
495	25	jack
