onset	duration	index
0	67	27
68	56	9
124	34	23
158	49	21
207	33	12
246	41	27
NaN	NaN	9
NaN	NaN	23
NaN	NaN	21
NaN	NaN	12
287	33	kate
320	21	randall
341	54	kevin
395	9	jack
