onset	duration	index
0	67	27
68	56	9
125	34	23
159	49	21
208	33	12
247	18	27
265	25	9
NaN	NaN	23
NaN	NaN	21
NaN	NaN	12
290	51	kevin
341	26	jack
367	64	randall
431	73	kate
