onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
152	14	8
171	27	16
NaN	NaN	13
199	14	3
NaN	NaN	37
NaN	NaN	8
214	21	kevin
235	16	kate
251	7	jack
258	15	randall
