onset	duration	index
0	43	35
43	28	29
71	29	2
100	13	25
113	80	43
198	23	35
NaN	NaN	29
221	22	2
NaN	NaN	25
NaN	NaN	43
243	15	randall
258	16	kate
275	18	kevin
293	21	jack
