onset	duration	index
0	52	46
52	60	47
112	44	48
NaN	NaN	NaN
NaN	NaN	NaN
161	28	46
190	17	47
NaN	NaN	48
NaN	NaN	NaN
NaN	NaN	NaN
208	8	kate
216	39	jack
255	22	randall
278	13	kevin
