onset	duration	index
0	43	35
44	28	29
72	29	2
101	13	25
114	80	43
NaN	NaN	35
NaN	NaN	29
NaN	NaN	2
NaN	NaN	25
NaN	NaN	43
199	34	kate
233	15	kevin
248	21	jack
269	22	randall
