onset	duration	index
0	46	16
46	46	13
92	22	3
115	37	37
152	14	8
NaN	NaN	16
NaN	NaN	13
171	23	3
NaN	NaN	37
NaN	NaN	8
194	14	jack
209	19	kate
229	11	kevin
240	20	randall
