onset	duration	index
0	65	24
65	16	7
81	40	18
122	61	45
183	50	30
238	50	24
NaN	NaN	7
288	67	18
355	17	45
NaN	NaN	30
372	12	kate
384	13	jack
397	16	kevin
414	16	randall
