onset	duration	index
0	40	39
40	32	15
72	32	36
104	68	42
173	61	11
239	27	39
266	17	15
283	23	36
306	16	42
NaN	NaN	11
323	28	kevin
352	34	jack
386	18	kate
405	29	randall
