onset	duration	index
0	47	40
48	30	17
78	72	41
151	26	4
177	28	20
210	31	40
242	26	17
268	27	41
296	26	4
NaN	NaN	20
323	25	jack
349	29	kevin
378	20	kate
399	18	randall
