onset	duration	index
0	25	19
26	42	10
68	60	1
128	46	32
174	82	44
NaN	NaN	19
NaN	NaN	10
NaN	NaN	1
NaN	NaN	32
261	24	44
285	23	randall
309	27	kate
336	23	kevin
359	25	jack
