onset	duration	index
0	37	34
37	49	38
86	45	31
132	26	5
158	73	26
NaN	NaN	34
NaN	NaN	38
236	43	31
NaN	NaN	5
280	41	26
321	34	kevin
355	36	kate
392	27	jack
419	42	randall
