onset	duration	index
0	43	35
43	28	29
71	29	2
100	13	25
113	80	43
198	25	35
223	18	29
241	26	2
NaN	NaN	25
NaN	NaN	43
267	21	kate
289	37	kevin
326	31	randall
357	43	jack
