similarity,distance,group,character,sub
0.6770274043083191,1,1,0,0
0.6135430335998535,2,1,0,0
0.42735931277275085,3,1,0,0
0.5955924391746521,4,1,0,0
0.5014272928237915,5,1,0,0
0.4244900643825531,6,1,0,0
0.5627070665359497,7,1,0,0
0.56208735704422,8,1,0,0
0.3276236057281494,9,1,0,0
0.6239475607872009,1,1,0,0
0.4204699397087097,2,1,0,0
0.5364179015159607,3,1,0,0
0.4527277648448944,4,1,0,0
0.4135090112686157,5,1,0,0
0.4843045473098755,6,1,0,0
0.5274446606636047,7,1,0,0
0.3322000503540039,8,1,0,0
0.39135944843292236,1,1,0,0
0.5769271850585938,2,1,0,0
0.38491466641426086,3,1,0,0
0.30805307626724243,4,1,0,0
0.4497900605201721,5,1,0,0
0.5461203455924988,6,1,0,0
0.3378981053829193,7,1,0,0
0.4113370478153229,1,1,0,0
0.3283637762069702,2,1,0,0
0.37109941244125366,3,1,0,0
0.33761829137802124,4,1,0,0
0.5398185849189758,5,1,0,0
0.40198200941085815,6,1,0,0
0.5675877332687378,1,1,0,0
0.5087102651596069,2,1,0,0
0.6066427230834961,3,1,0,0
0.7473276853561401,4,1,0,0
0.38593870401382446,5,1,0,0
0.4088735580444336,1,1,0,0
0.461478590965271,2,1,0,0
0.5930922627449036,3,1,0,0
0.4368128776550293,4,1,0,0
0.6348377466201782,1,1,0,0
0.49187469482421875,2,1,0,0
0.5479905605316162,3,1,0,0
0.638248085975647,1,1,0,0
0.46080002188682556,2,1,0,0
0.5236282348632812,1,1,0,0
0.43520721793174744,1,1,0,1
0.42365944385528564,2,1,0,1
0.33756953477859497,3,1,0,1
0.42073455452919006,4,1,0,1
0.3767407536506653,5,1,0,1
0.31306713819503784,6,1,0,1
0.17799776792526245,7,1,0,1
0.529184103012085,8,1,0,1
0.4151134490966797,9,1,0,1
0.6242306232452393,1,1,0,1
0.4376777410507202,2,1,0,1
0.20700252056121826,3,1,0,1
0.4928928315639496,4,1,0,1
0.4624214172363281,5,1,0,1
0.24905313551425934,6,1,0,1
